SL No.,Platform,Bus Route,Starting From,Destination
226,19C,58C,Kempegowda Bus Stand,TELECOM LAYOUT
227,19C,59D,Kempegowda Bus Stand,NAYANDAHALLI RAILWAY GATE
228,19C,218A,Kempegowda Bus Stand,KAMBIPURA
229,19C,221A,Kempegowda Bus Stand,TAVAREKERE
230,19C,300B,,BANASAWADI
231,19C,300C,,K.R PURA
232,19C,300H,,K.R PURA
233,19C,301F,,THAMBUCHETTY PALYA
234,19C,302A,,BABUSAB PALYA
235,19C,302B,,KALYAN NAGAR
236,19C,302F,,BABUSAB PALYA
237,19C,302N,,KALYAN NAGAR
238,20A,250AB,Kempegowda Bus Stand,MEDARAHALLI RAILWAY GATE
239,20A,250B,Kempegowda Bus Stand,THAMMENAHALLI
240,20A,250CA,Kempegowda Bus Stand,SAHYADRIBALAGA LAYOUT
241,20A,250L,Kempegowda Bus Stand,MALLASANDRA HEALTH CENTER
242,20A,250M,Kempegowda Bus Stand,M.E.I LAYOUT
243,20A,250P,Kempegowda Bus Stand,CHIKKA BANAVARA
244,20A,250S,,GELEYARA BALAGA
245,20A,250SA,,KUDUREGERE
246,20A,250SB,,SASUVE GHATTA
247,20A,250TD,Kempegowda Bus Stand,KUDUREGERE
248,20A,V-250ZA,Kempegowda Bus Stand,CHIKKA BANAVARA
249,20A,253J,Kempegowda Bus Stand,HESARAGHATTA
250,20A,253V,,THOTAGERE VILLAGE
251,20C,258T,Kempegowda Bus Stand,KANNAMANGALA
252,20C,258VA,Kempegowda Bus Stand,BYRASANDRA
253,20C,258VB,Kempegowda Bus Stand,CHIKKAMARANAHALLI
254,20C,258VD,Kempegowda Bus Stand,BETTASANDRA
255,20C,258WA,Kempegowda Bus Stand,JODIRAGITHIMMASANDRA
256,20C,261,Kempegowda Bus Stand,PEENYA 2ND STAGE
257,20C,263D,Kempegowda Bus Stand,K.S.R GOWDA LYT
258,20C,263F,Kempegowda Bus Stand,BYADARAHALLI
259,20C,263G,GANGONDANAHALLI,GANGONDANAHALLI
260,22,99A,,CHOWDESHWARI BUS STAND
261,22,99B,,CHOWDESHWARI BUS STAND
262,22,264A,,RING ROUTE
263,22,266J,,MUTHKUR
264,22,266T,,LAKSHMIPURA
265,22,269,,RAMACHANDRAPURA
266,22,269B,,VIDYARANYAPURA
267,22,271A,,ABBIGERE
268,22,271B,,KUVEMPUNAGAR 2ND STAGE
269,22,271C,,SINGAPURA
270,22,271E,,VEERA SAGARA
271,22,271G,,SOMASHETTIHALLI
272,22,271K,,MUTHYALA NAGAR TEMPLE
273,22,271P,,RAGHAVENDRA BADAVANE
274,22,271T,,JANAPRIYA GREEN WOOD APARTMENT
275,22,271TA,,KEMPAGOWDA GARDEN
276,22,273,,PEENYA 2ND STAGE
277,22,273B,,MEDARAHALLI
278,22,273C,,JALAHALLI CROSS
279,22,273F,,PEENYA 2ND STAGE
280,22,273J,,VISHWESHWARAIAH ENCLAVE
281,22,275A,,RING ROUTE
282,22,275C,,ISRO QUARTERS
283,22A,276,,VIDYARANYAPURA
284,22A,V-276,,VIDYARANYAPURA
285,22A,276B,,VIRUPAKSHAPURA
286,22A,276C,,LOTTEGOLLAHALLI
287,22A,276K,,KODIGEHALLI ASHRAMA
288,22A,276P,,LOTTEGOLLAHALLI
289,23,280L,Kempegowda Bus Stand,YERAPPANAHALLI
290,23,281A,Kempegowda Bus Stand,B.S.F
291,23,281C,Kempegowda Bus Stand,I.A.F
292,23,281F,Kempegowda Bus Stand,MYLANAHALLI
293,23,281G,Kempegowda Bus Stand,BANDE KODIGEHALLI PALYA
294,23,282F,Kempegowda Bus Stand,MARANAYAKANAHALLI
295,23,282G,Kempegowda Bus Stand,KODAGALAHATTI
296,23,283D,Kempegowda Bus Stand,KUDUREGERE COLONY
297,23,284,Kempegowda Bus Stand,YELAHANKA
298,23,289M,Kempegowda Bus Stand,BEGUR
299,23,289Z,Kempegowda Bus Stand,BANDI KODIGEHALLI
300,23,297G,Kempegowda Bus Stand,DODDACHIMMANAHALLI
301,23A,284D,Kempegowda Bus Stand,YELAHANKA SATELLITE TOWN
302,23A,402B,,YELAHANKA SATELLITE TOWN 4TH PHASE
303,23A,402C,,ATTUR
304,23A,402D,,YELAHANKA SATELLITE TOWN 4TH PHASE
305,23A,406,,NELAMANGALA
306,23B,285M,Kempegowda Bus Stand,DODDABALLAPURA
307,23B,V-285M,Kempegowda Bus Stand,DODDABALLAPURA
308,23B,285RC,Kempegowda Bus Stand,HESARAGHATTA VILLAGE
309,23B,285W,Kempegowda Bus Stand,BASAVALINGAPPA NAGAR
310,23D,279,,NAGASHETTI HALLI
311,23D,279E,,HEBBAL
312,23D,279H,,BHOOPASANDRA
313,23D,279K,,PATALAPPA LAYOUT
314,24,108B,Kempegowda Bus Stand,GANGANAGAR
315,24,111C,Kempegowda Bus Stand,KAVALBYRASANDRA
316,24,114C,Kempegowda Bus Stand,SULTHANAPALYA
317,24,415B,Kempegowda Bus Stand,VISHWANATHA NAGENAHALLI
318,24,415G,Kempegowda Bus Stand,SHAMPURA
319,24,114B,,MANORAYANAPALYA
320,25,104,,SADASHIVANAGAR
321,25A,145,Kempegowda Bus Stand,NEELASANDRA
322,25A,146,Kempegowda Bus Stand,VIVEK NAGAR
323,25A,145A,Kempegowda Bus Stand,NEELASANDRA ROSE GARDEN
324,25A,146B,Kempegowda Bus Stand,SRINIVAGILU
325,25A,146E,Kempegowda Bus Stand,EJIPURA
326,25B,340A,,RING ROUTE
327,25B,340AA,,I.T.I LAYOUT WATER TANK
328,25B,340H,,H.S.R 2ND SECTOR
329,25B,341D,,BELLANDUR
330,25B,341E,,HARALUR
331,25B,342F,,SARJAPURA
332,25B,342JB,,VALAGERA KALLAHALLI
333,26A,348,Kempegowda Bus Stand,MANGAMMANA PALYA
334,26A,347E,Kempegowda Bus Stand,SOMASUNDARAPALYA
335,26A,347HD,Kempegowda Bus Stand,DEVENDRA NAGAR (CHIKKATHOGURU)
336,26A,347L,Kempegowda Bus Stand,HOSAPALYA
337,26B,351A,Kempegowda Bus Stand,NARAYANAGHATTA
338,26B,351J,Kempegowda Bus Stand,HANDENAHALLI
339,26B,352A,Kempegowda Bus Stand,HENNAGARA
340,26B,352B,Kempegowda Bus Stand,MASTENAHALLI
341,26B,353C,Kempegowda Bus Stand,JIGANI
342,26B,354B,Kempegowda Bus Stand,SHETTIHALLI
343,26B,354C,Kempegowda Bus Stand,MARASUR
344,26B,355A,Kempegowda Bus Stand,SRIRAMPURA
345,26B,355E,Kempegowda Bus Stand,BANDENALLASANDRA
346,27,365B,Kempegowda Bus Stand,MALE NALLA SANDRA
347,27,365D,Kempegowda Bus Stand,BILAVARADA HALLI
348,27,365E,Kempegowda Bus Stand,SHYANUBHOGANA HALLI
349,27,365K,Kempegowda Bus Stand,CHATTAKEREPALYA
350,27,365R,Kempegowda Bus Stand,BASAVANAPURA CHURCH
351,27,365S,Kempegowda Bus Stand,MUTTARAYANA DODDI
352,27,365W,Kempegowda Bus Stand,VADERA MENCHENAHALLI
353,27,367F,Kempegowda Bus Stand,PILLAGANAHALLI
354,27,369C,,HULIMAVU
355,27,369CA,,CHIKKAMMANAHALLI
356,27,369D,,SHANTINIKETAN LAYOUT
357,27,369F,,HOMMADEVANAHALLI
358,27,369G,,CHIKKAMMANAHALLI
359,27,369J,,C.K PALYA
360,27,369K,,YELENAHALLI
361,28A,317YB,Kempegowda Bus Stand,KHAJI HOSAHALLI
362,28A,317YE,Kempegowda Bus Stand,GOVINDPURA
363,28A,381,Kempegowda Bus Stand,THIMMASANDRA
364,28A,381E,Kempegowda Bus Stand,KAMBALIPURA
365,28A,382M,Kempegowda Bus Stand,CHIKKA KORATI
366,28A,383A,Kempegowda Bus Stand,POOJENA AGRAHARA
367,28A,383D,,MAKANAHALLI
368,28A,KBS-12HK,,HOSAKOTE
369,28A,316B,Kempegowda Bus Stand,BUDIGERE
370,28A,316F,Kempegowda Bus Stand,CHEEMASANDRA
371,28A,316G,Kempegowda Bus Stand,MANDOOR
372,28A,316J,Kempegowda Bus Stand,KATTU GOLLAHALLI
373,28A,316M,Kempegowda Bus Stand,SINGAHALLI
374,28A,316Q,Kempegowda Bus Stand,KAGGALAHALLI
375,28A,317P,Kempegowda Bus Stand,KANNAMANGALA
376,28A,317V,Kempegowda Bus Stand,NADUVATHI
377,29A,319G,Kempegowda Bus Stand,DR. AMBEDKAR NAGAR
378,29A,320A,Kempegowda Bus Stand,NAGONDANAHALLI
379,29A,321G,Kempegowda Bus Stand,MUTHKUR
380,29A,322A,Kempegowda Bus Stand,TATTANUR
381,29A,KBS-13K,Kempegowda Bus Stand,KADUGODI BUS STATION
382,29C,333,,MARATHALLI BRIDGE
383,29C,333C,,BASAVA NAGARA
384,29C,333D,,CHINNAPPANA HALLI
385,29C,333F,,DODDA NEKKUNDI
386,29C,333H,,MUNE KOLALU
387,29C,333N,,SEETHARAMAPALYA
388,29C,333Q,,BHOGANAHALLI
389,29C,334C,,B NAGASANDRA
390,29C,336B,,KEMPAPURA
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
,,,Kempegowda Bus Stand,
