_id,bus_no,dest,platform
196,126,"INDIAN EXPRESS, COLES PARK",19
197,129,"VIDHANA SOUDHA, INDIAN EXPRESS",19
198,290,"VIDHAN SOUDHA, COLES PARK",19
199,290B,"INDIAN EXPRESS, CANTONMENT",19
200,290T,"INDIAN EXPRESS, KACHAKANAHALLI",19
201,290J,"INDIAN EXPRESS, NAGAVARA",19
202,291H,"VIDHANA SOUDHA, MUSLIM COLONY",19
203,291M,"INDIAN EXPRESS, COLES PARK",19
204,302F,"COLES PARK, SUBBAIAHNA PALYA",19
205,302B,"ITC FACTORY, KAMMANAHALLI",19
206,302K,"KR CIRCLE, MARUTHISEVANAGAR",19
207,302N,"VASANTHANAGAR, COLES PARK",19
208,302A,"KR CIRCLE, ITC FACTORY",19
209,292A,"SHIVANANDA STORE, HEBBALA",19A
210,292B,"CONTONMENT, LINGARAJAPURA",19A
211,292C,"INDIAN EXPRESS, ITC",19A
212,293N,"INDIAN EXPRESS, COLES PARK",19A
213,293H,"INDIAN EXPRESS, BAGALURU",19A
214,294E,"INDIAN EXPRESS, KACHAKANAHALLI",19A
215,295A,"CONTONMENT, HENNUR CROSS",19A
216,295B,"INDIAN EXPRESS, GEDDALAHALLI",19A
217,296A,"PULKESHINAGAR, CHIKKAGUBBI CROSS",19A
218,296B,"COLES PARK, HBR LAYOUT, K.P.T.C.L. OFFICE",19B
219,296C,"COLES PARK, LINGARAJAPURA",19B
220,296N,"VASANTHANAGAR, CLARENCE SCHOOL",19B
221,296T,"CLARENCE SCHOL, KACHARAKANAHALLI",19B
222,296V,"CONTONMENT, LINGARAJAPURA",19B
223,300B,"MARUTHI, SEVANAGAR",19B
224,300C,"COLES PARK, BANASWADI",19B
225,415H,"HEBBALA, NAGAWARA",19B
226,56,"KR MARKET, SIRASI CIRCLE",19C
227,57A,"CORPORATION, SIRASI CIRCLE",19C
228,58,"CORPORATION, NEW GUDDADAHALLI",19C
229,58C,"KR MARKET, BAPUJINAGAR",19C
230,59D,"KR MARKET, ATTIGUPPE",19C
231,218A,"M.C.T.C. BUS STATION, KENGERI",19C
232,221A,"NAYANDAHALLI, KOMMAGHATTA",19C
233,222C,"BAPUJINAGAR, NAYANDAHALLI, KENGERI",19D
234,225CB,"COTTONPETE, R.R. TEMPLE, B.H.E.L. LAYOUT CROSS",19D
235,225G,"KR MARKET, BPUJINAGAR, DEVADIGA SOUDHA",19D
236,225H,"COTTONPETE, NAYANDAHALLI, DEVADIGA SOUDHA",19D
237,405,"COTTONPETE, R.V. COLLEGE, MALLATHAHALLI, KAMAKSHIPALYA",19D
238,250S,"YESHWANTHPUR, DASARAHALLI",20A
239,250Y,"YESHWANTHPUR, SEEDEDAHALLI",20A
240,250SA,"R.M.C. YARD, THOTADAGUDDAHALLI",20A
241,250CB,"R.M.C. YARD, BAGALAGUNTE CROSS",20A
242,251B,"YESHWANTHPUR, HESARAGHATTA CROSS",20A
243,252,"YESHWANTHPUR, JALAHALLI CROSS",20A
244,252C,"YESHWANTHPUR, SUNKADAKATTE",20A
245,252D,"YESHWANTHPUR, JALAHALLI CROSS",20A
246,252E,"R.M.C. YARD, JALAHALLI CROSS",20A
247,258T,"DASARAHALLI, NELAMANGALA",20C
248,258VA,"JALAHALLI CROSS, NELAMANGALA",20C
249,258VB,"YESHWANTHPUR, NELAMANGALA",20C
250,258VD,"JALAHALLI CROSS, NELAMANGALA",20C
251,258WA,"YESHWANTHPUR, NELAMANGALA",20C
252,261,MALLESHWARAM RAILWAY STATION,20C
253,263D,"YESHWANTHPUR, DASARAHALLI",20C
254,263F,"MALLESHWARAM, NELAGEDARANAHALLI",20C
255,263G,"YESHWANTHPUR, NELAGEDARANAHALLI",20C
256,82,"HARISHCHANDRAGHAT, YESHWANTHPUR",21
257,82A,"MALLESHWARAM, YESHWANTHPUR",21
